Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Junho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro
Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;51,7;40,6;Estável;41,3;Estável;34,3;Estável;53,6;Estável;58,6;Estável;19,0;Queda
CV - Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;13,8;15,0;-;13,9;-;12,0;-;26,6;-;22,0;-;9,0;-
CV - Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;12,9;22,0;-;19,7;-;23,1;-;23,0;-;15,5;-;38,1;-
População residente (mil pessoas);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Total;  1 783 ;  1 785 ;Aumento;  1 786 ;Aumento;  1 788 ;Aumento;  1 789 ;Aumento;  1 791 ;Aumento;  1 793 ;Aumento
População residente (mil pessoas);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Tem plano de saúde médico;   236 ;   214 ;Estável;   189 ;Estável;   181 ;Estável;   200 ;Aumento;   190 ;Estável;   203 ;Estável
População residente (mil pessoas);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Não tem plano de saúde médico;  1 544 ;  1 551 ;Estável;  1 580 ;Estável;  1 592 ;Estável;  1 587 ;Estável;  1 598 ;Estável;  1 582 ;Estável
CV - População residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Total;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Tem plano de saúde médico;7,0;8,2;-;8,0;-;7,5;-;8,3;-;8,5;-;8,0;-
CV - População residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Não tem plano de saúde médico;1,1;1,1;-;1,0;-;0,9;-;1,1;-;1,0;-;1,0;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Total;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Tem plano de saúde médico;13,2;12,1;Estável;10,7;Estável;10,2;Estável;11,2;Aumento;10,6;Estável;11,4;Estável
Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Não tem plano de saúde médico;86,8;87,9;Estável;89,3;Estável;89,8;Estável;88,8;Estável;89,4;Estável;88,6;Estável
CV - Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Total;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Tem plano de saúde médico;7,0;8,1;-;8,0;-;7,5;-;8,3;-;8,5;-;8,0;-
CV - Distribuição da população residente (%);Unidade da Federação;Rondônia;-;-;Plano de Saúde Médico;Não tem plano de saúde médico;1,1;1,1;-;1,0;-;0,9;-;1,0;-;1,0;-;1,0;-
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Total;   562 ;   566 ;Aumento;   574 ;Aumento;   570 ;Estável;   569 ;Estável;   574 ;Aumento;   569 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;   19 ;   19 ;Estável;   12 ;Estável;   16 ;Estável;   7 ;Queda;   6 ;Estável;   6 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;   543 ;   546 ;Estável;   563 ;Estável;   554 ;Estável;   562 ;Aumento;   568 ;Estável;   563 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Total;   131 ;   130 ;Estável;   133 ;Estável;   131 ;Estável;   134 ;Estável;   135 ;Estável;   135 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;   4 ;   2 ;Estável;   2 ;Estável;   1 ;Estável;   1 ;Estável;   1 ;Estável;   1 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;   126 ;   128 ;Estável;   132 ;Estável;   130 ;Estável;   133 ;Estável;   133 ;Estável;   134 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Total;   431 ;   435 ;Estável;   441 ;Estável;   439 ;Estável;   435 ;Estável;   439 ;Estável;   434 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;   14 ;   17 ;Estável;   10 ;Estável;   15 ;Estável;   6 ;Queda;   5 ;Estável;   5 ;Estável
Domicílios (mil domicílios);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;   417 ;   418 ;Estável;   431 ;Estável;   424 ;Estável;   429 ;Estável;   435 ;Estável;   429 ;Estável
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Total;1,4;1,3;-;1,8;-;1,9;-;1,6;-;1,3;-;1,6;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;17,2;19,0;-;18,1;-;21,0;-;26,8;-;23,2;-;24,2;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;1,7;1,8;-;2,0;-;2,2;-;1,7;-;1,4;-;1,7;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Total;2,7;2,4;-;2,2;-;2,3;-;2,5;-;2,4;-;2,3;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;25,6;32,6;-;35,9;-;41,3;-;61,7;-;47,7;-;44,3;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;3,1;2,4;-;2,2;-;2,3;-;2,5;-;2,4;-;2,3;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Total;2,1;2,0;-;2,5;-;2,6;-;2,5;-;2,1;-;2,5;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;20,9;20,8;-;20,3;-;21,9;-;29,4;-;27,4;-;27,5;-
CV – Domicílios (%) ;Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;2,4;2,6;-;2,7;-;3,0;-;2,6;-;2,2;-;2,5;-
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Total;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Total;23,2;23,1;Estável;23,2;Estável;23,0;Estável;23,6;Estável;23,5;Estável;23,7;Estável
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;23,3;10,6;Estável;14,3;Estável;6,8;Estável;12,6;Estável;23,8;Estável;14,8;Estável
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;23,2;23,5;Estável;23,4;Estável;23,5;Estável;23,7;Estável;23,5;Estável;23,8;Estável
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Total;76,8;76,9;Estável;76,8;Estável;77,0;Estável;76,4;Estável;76,5;Estável;76,3;Estável
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;76,7;89,4;Estável;85,7;Estável;93,2;Estável;87,4;Queda;76,2;Estável;85,2;Estável
Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;76,8;76,5;Estável;76,6;Estável;76,5;Estável;76,3;Estável;76,5;Estável;76,2;Estável
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Total;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Total;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Total;3,2;3,0;-;3,0;-;3,2;-;3,5;-;3,1;-;3,3;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;25,2;34,0;-;35,6;-;41,2;-;60,0;-;42,9;-;44,6;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Com idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;3,6;3,2;-;3,2;-;3,4;-;3,6;-;3,1;-;3,3;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Total;1,0;0,9;-;0,9;-;1,0;-;1,1;-;0,9;-;1,0;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Ao menos um morador com sintomas conjugados;7,6;4,0;-;5,9;-;3,0;-;8,6;-;13,4;-;7,8;-
CV – Distribuição de domicílios (%);Unidade da Federação;Rondônia;Presença de algum idoso;Sem idoso;Morador com sintomas referenciados conjugados;Nenhum morador com sintomas conjugados;1,1;1,0;-;1,0;-;1,0;-;1,1;-;0,9;-;1,0;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Sexo;Total;-;-;  1 783 ;  1 785 ;Estável;  1 786 ;Estável;  1 788 ;Estável;  1 789 ;Estável;  1 791 ;Estável;  1 793 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Sexo;Homem;-;-;   902 ;   902 ;-;   903 ;-;   904 ;-;   904 ;-;   905 ;-;   906 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Sexo;Mulher;-;-;   882 ;   882 ;-;   883 ;-;   884 ;-;   885 ;-;   886 ;-;   887 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;Total;-;-;  1 783 ;  1 785 ;-;  1 786 ;-;  1 788 ;-;  1 789 ;-;  1 791 ;-;  1 793 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;0 a 9 anos;-;-;   274 ;   274 ;-;   274 ;-;   274 ;-;   275 ;-;   275 ;-;   275 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;10 a 19 anos;-;-;   286 ;   286 ;-;   285 ;-;   285 ;-;   284 ;-;   284 ;-;   283 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;20 a 29 anos;-;-;   312 ;   312 ;-;   312 ;-;   312 ;-;   312 ;-;   312 ;-;   312 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;30 a 59 anos;-;-;   735 ;   736 ;-;   738 ;-;   739 ;-;   740 ;-;   741 ;-;   742 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Grupos de Idade;60 anos ou mais;-;-;   176 ;   177 ;-;   177 ;-;   178 ;-;   179 ;-;   180 ;-;   180 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Cor ou Raça;Total4;-;-;  1 783 ;  1 785 ;-;  1 786 ;-;  1 788 ;-;  1 789 ;-;  1 791 ;-;  1 793 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Cor ou Raça;Branca;-;-;   501 ;   498 ;-;   486 ;-;   510 ;-;   497 ;-;   522 ;-;   510 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Cor ou Raça;Preta ou parda;-;-;  1 261 ;  1 265 ;-;  1 280 ;-;  1 259 ;-;  1 268 ;-;  1 249 ;-;  1 264 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Nível de instrução;Total;-;-;  1 783 ;  1 785 ;-;  1 786 ;-;  1 788 ;-;  1 789 ;-;  1 791 ;-;  1 793 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;   872 ;   899 ;-;   887 ;-;   885 ;-;   882 ;-;   874 ;-;   880 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Nível de instrução;Fundamental completo ao médio incompleto;-;-;   299 ;   290 ;-;   297 ;-;   291 ;-;   298 ;-;   300 ;-;   299 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Nível de instrução;Médio completo ao superior incompleto;-;-;   463 ;   446 ;-;   446 ;-;   450 ;-;   456 ;-;   471 ;-;   465 ;-
População residente (mil pessoas);Unidade da Federação;Rondônia;Nível de instrução;Superior completo ou pós-graduação;-;-;   149 ;   150 ;-;   156 ;-;   162 ;-;   152 ;-;   146 ;-;   149 ;-
CV - População residente (%);Unidade da Federação;Rondônia;Sexo;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Sexo;Homem;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Sexo;Mulher;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;0 a 9 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;10 a 19 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;20 a 29 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;30 a 59 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Grupos de Idade;60 anos ou mais;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Total4;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Branca;-;-;3,7;3,8;-;3,7;-;3,8;-;3,7;-;3,7;-;3,5;-
CV - População residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Preta ou parda;-;-;1,5;1,5;-;1,4;-;1,6;-;1,5;-;1,5;-;1,4;-
CV - População residente (%);Unidade da Federação;Rondônia;Nível de instrução;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - População residente (%);Unidade da Federação;Rondônia;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;1,9;1,6;-;1,6;-;1,8;-;1,6;-;1,5;-;1,5;-
CV - População residente (%);Unidade da Federação;Rondônia;Nível de instrução;Fundamental completo ao médio incompleto;-;-;6,1;6,6;-;5,5;-;6,0;-;6,6;-;7,0;-;6,6;-
CV - População residente (%);Unidade da Federação;Rondônia;Nível de instrução;Médio completo ao superior incompleto;-;-;3,0;3,5;-;3,4;-;4,1;-;3,7;-;3,4;-;3,5;-
CV - População residente (%);Unidade da Federação;Rondônia;Nível de instrução;Superior completo ou pós-graduação;-;-;8,5;8,9;-;7,3;-;6,7;-;7,1;-;8,4;-;6,9;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Sexo;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Sexo;Homem;-;-;50,6;50,6;-;50,6;-;50,5;-;50,5;-;50,5;-;50,5;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Sexo;Mulher;-;-;49,4;49,4;-;49,4;-;49,5;-;49,5;-;49,5;-;49,5;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;0 a 9 anos;-;-;15,4;15,4;-;15,4;-;15,3;-;15,3;-;15,3;-;15,3;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;10 a 19 anos;-;-;16,0;16,0;-;16,0;-;15,9;-;15,9;-;15,8;-;15,8;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;20 a 29 anos;-;-;17,5;17,5;-;17,5;-;17,4;-;17,4;-;17,4;-;17,4;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;30 a 59 anos;-;-;41,2;41,3;-;41,3;-;41,3;-;41,3;-;41,4;-;41,4;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Grupos de Idade;60 anos ou mais;-;-;9,9;9,9;-;9,9;-;10,0;-;10,0;-;10,0;-;10,1;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Total4;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Branca;-;-;28,1;27,9;-;27,2;-;28,5;-;27,8;-;29,1;-;28,5;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Cor ou Raça;Preta ou parda;-;-;70,7;70,9;-;71,7;-;70,4;-;70,9;-;69,8;-;70,5;-
Distribuição da população residente (%);Unidade da Federação;Rondônia;Nível de instrução;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
