Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Junho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;2,3;2,7;-;3,0;-;3,0;-;3,7;-;4,1;-;3,8;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;1,8;2,1;-;2,3;-;2,6;-;3,2;-;3,2;-;3,2;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;1,1;1,3;-;1,4;-;1,5;-;2,0;-;1,9;-;1,9;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;1,7;2,0;-;2,1;-;2,2;-;2,4;-;2,6;-;2,8;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;Total ;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;1,0;1,2;-;1,3;-;1,4;-;1,7;-;1,8;-;1,7;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;1,7;2,0;-;2,1;-;2,2;-;2,4;-;2,6;-;2,8;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Total4;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Branca;-;-;1,4;1,7;-;1,8;-;1,9;-;2,2;-;2,3;-;2,3;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Preta ou parda;-;-;1,2;1,3;-;1,5;-;1,6;-;2,0;-;2,0;-;2,0;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;1,5;1,6;-;1,7;-;1,8;-;2,1;-;2,3;-;2,2;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;1,9;2,2;-;2,4;-;2,5;-;3,0;-;3,1;-;3,0;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;1,4;1,6;-;1,8;-;1,9;-;2,3;-;2,4;-;2,3;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;2,1;2,6;-;2,7;-;3,0;-;3,8;-;3,7;-;3,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Homem;-;-;43,3;43,1;-;42,7;-;42,8;-;43,3;-;42,6;-;43,1;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Mulher;-;-;56,7;56,9;-;57,3;-;57,2;-;56,7;-;57,4;-;56,9;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;7,2;7,7;-;7,8;-;10,0;-;9,1;-;10,4;-;10,9;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;9,4;9,0;-;9,5;-;10,1;-;9,5;-;9,9;-;9,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;17,9;17,2;-;16,9;-;16,4;-;16,1;-;16,0;-;16,5;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;50,6;50,2;-;49,5;-;47,3;-;47,5;-;46,2;-;45,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;14,8;15,8;-;16,4;-;16,2;-;17,9;-;17,4;-;17,4;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;Total ;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;85,2;84,2;-;83,6;-;83,8;-;82,1;-;82,6;-;82,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;14,8;15,8;-;16,4;-;16,2;-;17,9;-;17,4;-;17,4;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Total4;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Branca;-;-;40,3;40,7;-;42,2;-;43,5;-;43,1;-;41,9;-;44,4;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Preta ou parda;-;-;58,2;58,0;-;56,6;-;55,3;-;55,7;-;57,1;-;54,4;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;32,8;34,7;-;35,1;-;38,0;-;37,6;-;38,8;-;37,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;16,3;15,9;-;16,6;-;15,9;-;15,3;-;15,5;-;15,7;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;34,8;33,6;-;32,8;-;31,0;-;31,5;-;30,8;-;30,2;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;16,0;15,8;-;15,5;-;15,1;-;15,6;-;14,9;-;16,4;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Homem;-;-;0,7;0,8;-;0,8;-;0,9;-;1,1;-;1,3;-;1,2;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Mulher;-;-;0,5;0,6;-;0,6;-;0,7;-;0,8;-;0,9;-;0,9;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;2,6;3,0;-;3,2;-;3,0;-;3,6;-;3,9;-;4,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;1,9;2,4;-;2,6;-;2,7;-;3,3;-;3,6;-;3,4;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;1,4;1,8;-;1,9;-;2,2;-;2,7;-;2,7;-;2,7;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;0,6;0,8;-;0,8;-;0,9;-;1,2;-;1,3;-;1,2;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;1,5;1,8;-;1,9;-;2,0;-;2,2;-;2,4;-;2,5;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;0,3;0,3;-;0,4;-;0,4;-;0,5;-;0,5;-;0,5;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;1,5;1,8;-;1,9;-;2,0;-;2,2;-;2,4;-;2,5;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Total4;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Branca;-;-;1,1;1,2;-;1,2;-;1,3;-;1,6;-;1,7;-;1,6;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Cor ou Raça;Preta ou parda;-;-;0,8;0,9;-;0,9;-;1,0;-;1,2;-;1,2;-;1,3;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;1,1;1,2;-;1,2;-;1,3;-;1,4;-;1,6;-;1,6;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;1,6;1,9;-;1,9;-;2,2;-;2,5;-;2,8;-;2,6;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;1,0;1,2;-;1,3;-;1,4;-;1,7;-;1,8;-;1,8;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;2,0;2,3;-;2,5;-;2,7;-;3,4;-;3,3;-;3,1;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Total;-;-;11,4;7,3;Queda;6,5;Queda;5,7;Queda;4,4;Queda;3,7;Queda;3,8;Estável
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Homem;-;-;10,1;6,5;-;5,7;-;5,0;-;3,9;-;3,2;-;3,3;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Mulher;-;-;12,6;8,2;-;7,3;-;6,4;-;4,9;-;4,1;-;4,2;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;Total;-;-;11,4;7,3;-;6,5;-;5,7;-;4,4;-;3,7;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;0 a 9 anos;-;-;5,9;4,1;-;3,7;-;4,1;-;2,9;-;2,8;-;3,0;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;10 a 19 anos;-;-;7,4;4,6;-;4,3;-;4,0;-;2,9;-;2,5;-;2,5;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;20 a 29 anos;-;-;12,6;7,8;-;6,8;-;5,8;-;4,4;-;3,7;-;3,9;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;30 a 59 anos;-;-;14,0;8,9;-;7,8;-;6,6;-;5,0;-;4,1;-;4,1;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;60 anos ou mais;-;-;11,9;8,2;-;7,5;-;6,5;-;5,4;-;4,5;-;4,5;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;Total ;-;-;11,4;7,3;-;6,5;-;5,7;-;4,4;-;3,7;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;11,3;7,2;-;6,4;-;5,6;-;4,2;-;3,6;-;3,6;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;11,9;8,2;-;7,5;-;6,5;-;5,4;-;4,5;-;4,5;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Total4;-;-;11,4;7,3;-;6,5;-;5,7;-;4,4;-;3,7;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Branca;-;-;10,4;6,8;-;6,3;-;5,7;-;4,3;-;3,5;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Preta ou parda;-;-;12,1;7,8;-;6,7;-;5,8;-;4,4;-;3,8;-;3,7;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Total;-;-;11,4;7,3;-;6,5;-;5,7;-;4,4;-;3,7;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;9,1;6,2;-;5,5;-;5,3;-;4,0;-;3,5;-;3,4;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;11,6;7,3;-;6,8;-;5,7;-;4,2;-;3,6;-;3,7;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;13,3;8,3;-;7,2;-;6,0;-;4,6;-;3,8;-;3,8;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;13,9;8,9;-;7,8;-;6,6;-;5,2;-;4,2;-;4,7;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Homem;-;-;1,2;1,4;-;1,5;-;1,6;-;2,0;-;2,1;-;2,1;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Sexo;Mulher;-;-;1,1;1,2;-;1,3;-;1,4;-;1,7;-;1,8;-;1,7;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;0 a 9 anos;-;-;2,9;3,3;-;3,5;-;3,4;-;4,1;-;4,5;-;4,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;10 a 19 anos;-;-;2,3;2,7;-;3,0;-;3,0;-;3,7;-;4,1;-;3,8;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;20 a 29 anos;-;-;1,8;2,1;-;2,3;-;2,6;-;3,2;-;3,2;-;3,2;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;30 a 59 anos;-;-;1,1;1,3;-;1,4;-;1,5;-;2,0;-;1,9;-;1,9;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade;60 anos ou mais;-;-;1,7;2,0;-;2,1;-;2,2;-;2,4;-;2,6;-;2,8;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;Total ;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;1,0;1,2;-;1,3;-;1,4;-;1,7;-;1,8;-;1,7;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;1,7;2,0;-;2,1;-;2,2;-;2,4;-;2,6;-;2,8;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Total4;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Branca;-;-;1,4;1,7;-;1,7;-;1,8;-;2,2;-;2,3;-;2,2;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Cor ou Raça;Preta ou parda;-;-;1,2;1,3;-;1,4;-;1,6;-;1,9;-;2,0;-;2,0;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;1,4;1,6;-;1,6;-;1,8;-;2,0;-;2,2;-;2,2;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;1,8;2,1;-;2,2;-;2,4;-;3,0;-;3,1;-;3,0;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;1,3;1,6;-;1,7;-;1,9;-;2,3;-;2,4;-;2,3;-
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,9;2,3;-;2,5;-;2,7;-;3,5;-;3,5;-;3,4;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Sexo;Total;-;-;  3 870 ;  2 156 ;Queda;  1 787 ;Queda;  1 336 ;Queda;   862 ;Queda;   702 ;Queda;   796 ;Aumento
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Sexo;Homem;-;-;  1 619 ;   898 ;-;   740 ;-;   524 ;-;   353 ;-;   282 ;-;   335 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Sexo;Mulher;-;-;  2 251 ;  1 258 ;-;  1 046 ;-;   811 ;-;   508 ;-;   421 ;-;   461 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;Total;-;-;  3 870 ;  2 156 ;-;  1 787 ;-;  1 336 ;-;   862 ;-;   702 ;-;   796 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;   94 ;   66 ;-;   45 ;-;   29 ;-;   35 ;-;   22 ;-;   25 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;   380 ;   216 ;-;   170 ;-;   149 ;-;   74 ;-;   78 ;-;   69 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;   829 ;   461 ;-;   375 ;-;   259 ;-;   152 ;-;   136 ;-;   186 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;  2 135 ;  1 179 ;-;   985 ;-;   753 ;-;   492 ;-;   366 ;-;   427 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;   433 ;   234 ;-;   212 ;-;   144 ;-;   109 ;-;   101 ;-;   90 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade 2;Total ;-;-;  3 870 ;  2 156 ;-;  1 787 ;-;  1 336 ;-;   862 ;-;   702 ;-;   796 ;-
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;  3 438 ;  1 922 ;-;  1 575 ;-;  1 191 ;-;   753 ;-;   602 ;-;   706 ;-
